dataset,subset,locus,totalSeqs,meanLength,nSpp,meanPerSpp,medianPerSpp,idRate,idRateShared,primerBiasActin,primerBiasElasmo
Miya-E,all,12S,1904,170,322,5.9130434783,3,0.9285714286,0.9095022624,0.5621829151,55.0080688542
Miya-U,all,12S,1904,170,322,5.9130434783,3,0.9285714286,0.9095022624,86.6366473685,2.9722403963
Riaz,all,12S,2416,106,364,6.6373626374,2,0.7912087912,0.778280543,92.1725490196,11.1769230769
Taberlet-elas02,all,12S,1904,166,322,5.9130434783,3,0.9285714286,0.9095022624,0.4884092154,83.6433311524
Taberlet-tele02,all,12S,1904,166,322,5.9130434783,3,0.9285714286,0.9095022624,92.0975733706,8.2862601761
Valentini,all,12S,1699,63,273,6.2234432234,2,0.8608058608,0.8461538462,77.1086739781,68.2485875706
Berry,all,16S,4089,202,411,9.9489051095,4,0.8905109489,0.8642533937,50.8984301116,0
Leray,all,COI,24058,310,481,50.0166320166,24,0.9501039501,0.9592760181,27.7666666667,39.0115384615
SeaMid,all,COI,24045,130,481,49.9896049896,24,0.9085239085,0.9411764706,23.8156132018,23.7498009237
SeaShort,all,COI,23911,55,481,49.711018711,24,0.869022869,0.9049773756,34.522875817,21.4769230769
Ward,all,COI,23975,652,481,49.8440748441,24,0.9542619543,0.9683257919,6.3339869281,1.2
Minamoto,all,CYTB,15405,235,344,44.7819767442,6.5,0.9069767442,0.9095022624,19.0596370561,20.405831792
Miya-E,common,12S,941,170,109,8.6330275229,3,0.9357798165,0.9431818182,0,73.2711732712
Miya-U,common,12S,941,170,109,8.6330275229,3,0.9357798165,0.9431818182,91.8024887921,0
Riaz,common,12S,1398,106,143,9.7762237762,3,0.8531468531,0.8295454545,96.4,0
Taberlet-elas02,common,12S,941,166,109,8.6330275229,3,0.9357798165,0.9431818182,0,100
Taberlet-tele02,common,12S,941,166,109,8.6330275229,3,0.9357798165,0.9431818182,96.4325612572,0
Valentini,common,12S,852,64,99,8.6060606061,2,0.9292929293,0.9431818182,76.3685953633,68.2485875706
Berry,common,16S,2296,201,167,13.748502994,6,0.874251497,0.9090909091,53.8954799128,0
Leray,common,COI,12698,310,170,74.6941176471,38.5,0.9705882353,1,23.3362068966,49.2555555556
SeaMid,common,COI,12639,130,170,74.3470588235,37.5,0.9294117647,1,17.6179767259,30.0437083046
SeaShort,common,COI,12553,55,170,73.8411764706,37.5,0.9294117647,1,32.8051724138,28.9111111111
Ward,common,COI,12579,652,170,73.9941176471,37.5,0.9705882353,1,6.3,0
Minamoto,common,CYTB,10936,235,143,76.4755244755,16,0.9370629371,1,19.1996293225,12.9341505579
